No_followers,engagment_rate_avg,Selected,IG_id,Category_name,Locations,Cluster,Selected (1)
continuous,discrete,discrete,string,string,string,discrete,discrete
,,class,meta,meta,meta,meta,meta
24600.0,with,Yes,@blueabaya,"""'kid'",restaur,C1,No
103000.0,"fashion""",Yes,@manalblog,"""'blogger'",beauti,C1,No
137000.0,3.2,Yes,@stars_wedding,lifestyle,Riyadh,C1,No
180000.0,3.2,Yes,@n0k,lifestyle,Miami Beach,C1,No
110000.0,Riyadh,Yes,@ghada_abdullah09,"""'busi'","beauti""",C1,No
101000.0,Ta’if,Yes,@bakir_alzanabigflower,"""'wed'","lifestyle""",C1,No
268000.0,2.91,Yes,@reemaabdollah,busi,Venice,C1,No
542000.0,2.67,Yes,@areebalturaif,lifestyle,Riyadh,C2,No
156000.0,3.2,Yes,@sedrasaad,lifestyle,Riyadh,C1,No
276000.0,2.91,Yes,@sa7ar_al7ammad,lifestyle,London,C1,No
148000.0,3.2,Yes,@ihajar_,photograph,Riyadh,C1,No
154000.0,Riyadh,Yes,@shahad_alrowaidhan,"""'photograph'","busi""",C1,No
104000.0,3.2,Yes,@batoolabdulaziz,photograph,Riyadh,C1,No
12400.0,London,Yes,@a.3obad,"""'sport'","photographi""",C1,No
26900.0,3.39,Yes,@aimhigh_co,lifestyle,Khobar,C1,No
17500.0,3.98,Yes,@nouramalek,lifestyle,Riyadh,C1,No
30000.0,3.39,Yes,@manarmua,makeup,Riyadh,C1,No
15000.0,Riyadh,Yes,@metab_alassaf,"""'photograph'","busi""",C1,No
84100.0,3.05,Yes,@burcununmutfagindan,cook,Riyadh,C1,No
17900.0,3.98,Yes,@durhone_ksa,chocol,Riyadh,C1,No
38100.0,3.39,Yes,@alyousef2000,lifestyle,London,C1,No
21000.0,interior,Yes,@reservoirintl,"""'design'",manag,C1,No
38000.0,"car""",Yes,@sevencarlounge,"""'sale'",lifestyle,C1,No
62000.0,Riyadh,Yes,@harveynicholsriyadh,"""'cosmet'","fashion""",C1,No
15200.0,3.98,Yes,@kon,lifestyle,Dubai,C1,No
12400.0,3.98,Yes,@alhanoosmakeup,lifestyle,Sharjah,C1,No
25200.0,3.39,Yes,@h2doo,advertis,Doha,C1,No
52400.0,"lifestyle""",Yes,@koko_1995,"""'potter'",harri,C1,No
31300.0,3.39,Yes,@ap_dy,lifestyle,Jeddah,C1,No
16100.0,San Francisco,Yes,@bintsab,"""'design'","interior""",C1,No
35400.0,3.39,Yes,@noufbeauty,blogger,Chelsea,C1,No
41000.0,3.39,Yes,@florist_sa,gift,Riyadh,C1,No
92900.0,3.05,Yes,@xf9olz,instagram,Riyadh,C1,No
54100.0,3.15,Yes,@monareemaphotography,travel,Jeddah,C1,No
93600.0,3.05,Yes,@smart__tools,lifestyle,Riyadh,C1,No
43400.0,3.39,Yes,@boode_m0,photograph,Riyadh,C1,No
17500.0,3.98,Yes,@nouramalek,lifestyle,Riyadh,C1,No
82900.0,3.05,Yes,@m_10g,lifestyle,Riyadh,C1,No
88900.0,3.05,Yes,@sara_almutawa,lifestyle,Milano,C1,No
11200.0,Chicago,Yes,@_i3mor,"""'media'","market""",C1,No
26900.0,3.39,Yes,@aimhigh_co,lifestyle,Khobar,C1,No
82700.0,Dubai,Yes,@saraalsalim1,"""'photograph'","busi""",C1,No
90600.0,3.05,Yes,@ceremony_sparkles,lifestyle,Riyadh,C1,No
55400.0,Riyadh,Yes,@amahanna,"""'photograph'","lifestyle""",C1,No
15100.0,3.98,Yes,@t__1429,lifestyle,Medina,C1,No
67300.0,3.15,Yes,@njlaabdullah,lifestyle,Genève,C1,No
98600.0,3.05,Yes,@swem22,photograph,Riyadh,C1,No
10500.0,3.98,Yes,@nu_ksa,fashion,Riyadh,C1,No
61300.0,Riyadh,Yes,@97.9,"""'lifestyle'","busi""",C1,No
14000.0,Riyadh,Yes,@jasmin_show_2,"""'photograph'","fashion""",C1,No
11000.0,3.98,Yes,@bessho_20,photograph,Riyadh,C1,No
19000.0,3.98,Yes,@loomerjewelry,jewelri,Manama,C1,No
21800.0,3.98,Yes,@3z_mohammed,lifestyle,Riyadh,C1,No
12300.0,3.98,Yes,@4m.00,C,Abha,C1,No
10700.0,3.98,Yes,@mo0od20,lifestyle,Newcastle upon Tyne,C1,No
14900.0,3.98,Yes,@rk_reemalkanhal,sale,Bastia umbra,C1,No
21500.0,3.98,Yes,@ddhom,photograph,Riyadh,C1,No
81700.0,3.05,Yes,@onlyrosesuae,rose,Sharjah,C1,No
23600.0,Riyadh,Yes,@binzarah,"""'soni'","beauti""",C1,No
52600.0,3.15,Yes,@ruelulu,style,Carlsbad,C1,No
25800.0,3.39,Yes,@hawazennawaf,photograph,Florence,C1,No
12400.0,3.98,Yes,@ellemaison,fashion,Riyadh,C1,No
36200.0,3.39,Yes,@alexbroown,model,Beverly Hills,C1,No
22500.0,3.98,Yes,@sr9i,C,Baghdad,C1,No
23400.0,3.98,Yes,@8z0m,lifestyle,Riyadh,C1,No
13600.0,Riyadh,Yes,@_msnoura,"""'mother'","busi""",C1,No
